Cara Pengadaan,Jenis Pengadaan,Kode RUP,Metode Pengadaan,Nama Instansi,Nama Paket,Nama Satuan Kerja,Produk Dalam Negeri,Sumber Dana,Tahun Anggaran,Total Nilai (Rp)
Penyedia,Jasa Lainnya,62352514,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Pengadaan Barang/Jasa Konsumsi Peserta Pelatihan Industri dan Kerjasama,PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA MINYAK DAN GAS BUMI,Ya,APBN,2026,8964560000
Penyedia,Barang,66360644,E-Purchasing,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Pengadaan Universal Oven 260,BALAI BESAR PENGUJIAN MINERAL DAN BATUBARA TEKMIRA,Tidak,APBN,2026,117000000
Penyedia,Jasa Lainnya,64458284,Penunjukan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Sewa Kantor Inspektur Tambang Provinsi Maluku,DITJEN MINERAL DAN BATUBARA,Ya,APBN,2026,195000000
Penyedia,Jasa Lainnya,65986479,Tender,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Pekerjaan Cleaning Service Gedung dan Halaman Satpam dan Sopir Lemigas,BALAI BESAR PENGUJIAN MINYAK DAN GAS BUMI LEMIGAS,Ya,APBN,2026,21700000000
Penyedia,Jasa Lainnya,65009009,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan,DITJEN MINERAL DAN BATUBARA,Ya,APBN,2026,4723000
Penyedia,Barang,65560454,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan,BALAI PENDIDIKAN DAN PELATIHAN TAMBANG BAWAH TANAH DI SAWAH LUNTO,Ya,APBN,2026,460000
Penyedia,Jasa Lainnya,64306229,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,General English,POLITEKNIK ENERGI DAN MINERAL AKAMIGAS,Ya,APBN,2026,153000000
Penyedia,Barang,66836218,E-Purchasing,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Pengadaan Barang/jasa Peralatan Furniture Untuk Layanan Sertifikasi,PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA MINYAK DAN GAS BUMI,Ya,APBN,2026,635000000
Penyedia,Barang,63646559,E-Purchasing,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Barang Persediaan Barang Konsumsi (ATK) PCPI,BADAN PENGATUR HILIR MINYAK DAN GAS BUMI BPH MIGAS,Ya,APBN,2026,8734000
Penyedia,Jasa Lainnya,63653245,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Jasa Produksi Video,BADAN PENGATUR HILIR MINYAK DAN GAS BUMI BPH MIGAS,Ya,APBN,2026,595320000
Penyedia,Barang,62293977,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Barang Persediaan Barang Konsumsi,PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA KETENAGALISTRIKAN ENERGI BARU TERBARUKAN DAN KONSERVASI ENERGI,Ya,APBN,2026,141228000
Penyedia,Barang,64178413,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Barang Persediaan Barang Konsumsi,DIREKTORAT JENDERAL MINYAK DAN GAS BUMI,Ya,APBN,2026,252200000
Penyedia,Jasa Lainnya,64458332,Penunjukan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Sewa Kantor Inspektur Tambang Provinsi Lampung,DITJEN MINERAL DAN BATUBARA,Ya,APBN,2026,130000000
Penyedia,Jasa Lainnya,63621012,E-Purchasing,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Fullboard Di Luar Kantor (Eselon I  II) Layanan Organisasi dan Tata Kelola BPH Migas,BADAN PENGATUR HILIR MINYAK DAN GAS BUMI BPH MIGAS,Ya,APBN,2026,9592000
Penyedia,Jasa Lainnya,66715681,E-Purchasing,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Perjalanan Dinas Paket Meeting Luar Kota,DIREKTORAT JENDERAL PENEGAKAN HUKUM ENERGI DAN SUMBER DAYA MINERAL,Ya,APBN,2026,30716000
Penyedia,Barang,63795301,Dikecualikan,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Bahan Perlengkapan Komputer,DIREKTORAT JENDERAL ENERGI BARU TERBARUKAN DAN KONSERVASI ENERGI,Ya,APBN,2026,839000
Penyedia,Jasa Lainnya,63525688,E-Purchasing,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Jasa Lainnya,BALAI BESAR SURVEI DAN PEMETAAN GEOLOGI KELAUTAN,Ya,APBN,2026,15000000
Penyedia,Barang,63839186,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan,SEKRETARIAT BADAN PENGEMBANGAN SUMBER DAYA MANUSIA ENERGI DAN SUMBER DAYA MINRAL,Ya,APBN,2026,607000
Penyedia,Jasa Lainnya,64378778,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Biaya Paket Kegiatan Rapat/Pertemuan Full Day di Luar Kantor - Pejabat Eselon I  II (Jawa  Barat) Pengawasan Peningkatan Pasokan Tenaga Listrik 24 Jam/Hari,DIREKTORAT JENDERAL KETENAGALISTRIKAN,Ya,APBN,2026,16096000
Penyedia,Jasa Lainnya,63346947,Penunjukan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Langganan Air,INSPEKTORAT JENDERAL KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Ya,APBN,2026,72000000
Penyedia,Barang,63808016,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan Konsolidasi Pada 1909.EBA.959.052 ,SEKRETARIAT JENDERAL DEWAN ENERGI NASIONAL,Ya,APBN,2026,41737000
Penyedia,Barang,63525691,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Suku Cadang dan Perlengkapan Peralatan Navigasi,BALAI BESAR SURVEI DAN PEMETAAN GEOLOGI KELAUTAN,Ya,APBN,2026,27134000
Penyedia,Barang,63815140,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Makan Rapat Biasa D.K.I.  JAKARTA,DIREKTORAT JENDERAL ENERGI BARU TERBARUKAN DAN KONSERVASI ENERGI,Ya,APBN,2026,926000
Penyedia,Jasa Lainnya,63650642,E-Purchasing,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Goes To Campus di Kalimantan Timur,BADAN PENGATUR HILIR MINYAK DAN GAS BUMI BPH MIGAS,Ya,APBN,2026,250000000
