Cara Pengadaan,Jenis Pengadaan,Kode RUP,Metode Pengadaan,Nama Instansi,Nama Paket,Nama Satuan Kerja,Produk Dalam Negeri,Sumber Dana,Tahun Anggaran,Total Nilai (Rp)
Penyedia,Jasa Lainnya,66270509,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Kalibrasi Standard Gain Horn Antenna Kit DRH370,BALAI BESAR PENGUJIAN PERANGKAT TELEKOMUNIKASI DAN DIGITAL,Ya,APBN,2026,169552000
Swakelola,-,42765136,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Barang Non Operasional Lainnya ( INSPEKSI STASIUN MONITORING TETAP ),BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I DENPASAR,Tidak,APBN,2026,4200000
Penyedia,Jasa Lainnya,62295771,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan Penyediaan Layanan Akses Internet Broadband untuk Mendukung Percepatan Penetrasi FBB Nasional Wilayah Prov. Banten (DITAKSEL),DIREKTORAT JENDERAL INFRASTRUKTUR DIGITAL,Ya,APBN,2026,693084000
Penyedia,Barang,62490729,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Perjalanan Dinas Paket Meeting Dalam Kota Kegiatan Penyelesaian Sengketa KTP2JB,SEKRETARIAT DEWAN PERS,Ya,APBN,2026,15400000
Penyedia,Jasa Lainnya,64290212,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,002.0A.000153-Belanja Pengiriman Surat Dinas Pos Pusat-Pengiriman Surat Kantor-Operasional dan Pemeliharaan Kantor,MONUMEN PERS NASIONAL SURAKARTA,Ya,APBN,2026,810000
Penyedia,Jasa Lainnya,62253094,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pekerjaan Pemeliharaan Perangkat Monitoring Balai Monitor SFR Kelas II Jambi,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II JAMBI,Ya,APBN,2026,50000000
Penyedia,Barang,62183062,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan Pakaian Seragam Teknis dan Tenaga Honorer Kantor Balai Monitor Spektrum Frekuensi Radio Kelas II Jayapura,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II JAYAPURA,Ya,APBN,2026,27800000
Penyedia,Pekerjaan Konstruksi,66510359,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Biaya Pengelolaan kegiatan,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II BANDA ACEH,Ya,APBN,2026,24750000
Swakelola,-,43137764,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,PERIZINAN ISR MARITIM (MARITIM ON THE SPOT),LOKA MONITOR SPEKTRUM FREKUENSI RADIO MAMUJU,Tidak,APBN,2026,34610000
Penyedia,Jasa Lainnya,64522472,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pemeliharaan Operasional Pendukung Pusat Kendali di MMB9,DIREKTORAT JENDERAL PENGAWASAN RUANG DIGITAL,Ya,APBN,2026,430000000
Swakelola,-,41774199,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Evaluasi Kegiatan Keterampilan Digital Dasar dan Literasi Digital Bagi Masyarakat,BALAI PENGEMBANGAN SDM DAN PENELITIAN KOMUNIKASI DAN INFORMATIKA BANDUNG,Tidak,APBN,2026,10020000
Penyedia,Barang,62752804,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan Akun Zoom Meeting Penatausahaan,BALAI BESAR PENGEMBANGAN SDM DAN PENELITIAN KOMUNIKASI DAN INFORMATIKA MAKASSAR,Ya,APBN,2026,7500000
Penyedia,Jasa Lainnya,63184298,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,01443 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota - Transportasi dalam kota - Perencanaan dan Persiapan Kerja Sama Media,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,1700000
Penyedia,Barang,63184057,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,001009 - Belanja Bahan - Konsumsi Makan - Rapat Koordinasi dengan Stakeholders,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,8117000
Swakelola,-,43142857,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pelaksanaan Pelatihan PNBP,BALAI PELATIHAN DAN PENGEMBANGAN TEKNOLOGI INFORMASI DAN KOMUNIKASI,Tidak,APBN,2026,296670000
Penyedia,Jasa Lainnya,65142831,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,000593 - Belanja Jasa lainnya - Penempatan di TV/Radio Lokal - Diseminasi Informasi Terkait Pengelolaan komunikasi publik Makan Bergizi Gratis (E),DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,400000000
Penyedia,Barang,66870709,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,"Paket Alat Pengolah Data Portable dan Penyimpanan Data Eksternal Untuk Pengolahan Data Infrastruktur Telekomunikasi di IKN, Ditstrike",DIREKTORAT JENDERAL INFRASTRUKTUR DIGITAL,Tidak,APBN,2026,118607000
Penyedia,Jasa Lainnya,64791118,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pemeliharaan FM 200,SEKRETARIAT JENDERAL KOMDIGI,Ya,APBN,2026,100000000
Swakelola,-,43146620,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,"PEMANTAUAN, PENGUKURAN DAN PENANGANAN GANGGUAN FREKUENSI RADIO LUAR KOTA TRANSPORTASI SUNGAI/LAUT WILAYAH SULAWESI LOKA MONITOR SPEKTRUM FREKUENSI RADIO KENDARI",LOKA MONITOR SPEKTRUM FREKUENSI RADIO KENDARI,Tidak,APBN,2026,334250000
Penyedia,Barang,66087246,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Bahan - Monitoring dan Evaluasi JF Binaan Komdigi,SEKRETARIAT JENDERAL KOMDIGI,Ya,APBN,2026,11978000
Swakelola,-,43003473,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pelaksanaan Kegiatan Pemantauan Pengukuran Dan Penanganan Gangguan Frekuensi Radio Luar Kota Transportasi Laut/Sungai Wilayah Sumatera Balmon SFR Kelas I Palembang,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I PALEMBANG,Tidak,APBN,2026,24555000
Swakelola,-,41889463,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,002067 - Belanja Jasa Profesi - Honor Narasumber - Diseminasi Melalui Media Sosial,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Tidak,APBN,2026,16800000
Penyedia,Jasa Lainnya,66378160,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Langganan Listrik Kantor BPT Komdigi,BALAI PELATIHAN DAN PENGEMBANGAN TEKNOLOGI INFORMASI DAN KOMUNIKASI,Ya,APBN,2026,960000000
Penyedia,Jasa Lainnya,66705028,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Kontrak TP dan TA Ekodig Periode Jan 2026 (WA.4485.EBA.994.002.0A),BADAN PENGEMBANGAN SUMBER DAYA MANUSIA KOMUNIKASI DAN DIGITAL,Ya,APBN,2026,132360000
Penyedia,Barang,66869458,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Alat Pengolah Data Balmon Manado 2026,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II MANADO,Ya,APBN,2026,160933000
Penyedia,Barang,65814387,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Annual Web Application Firewall,SEKRETARIAT JENDERAL KOMDIGI,Tidak,APBN,2026,1040000000
Penyedia,Barang,66338273,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Komputer Supplies,SEKRETARIAT JENDERAL KOMDIGI,Ya,APBN,2026,1624000
Swakelola,-,41507977,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,SBML,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II BANJARMASIN,Tidak,APBN,2026,864000000
Penyedia,Jasa Lainnya,65066620,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Jasa penyelenggaraan kegiatan perlindungan pengguna perangkat telekomunikasi Dit. Prestasi,DIREKTORAT JENDERAL INFRASTRUKTUR DIGITAL,Ya,APBN,2026,200000000
Penyedia,Jasa Lainnya,62408336,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Medical Ceck Up Balai Monitor SFR Kelas II Bengkulu,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II BENGKULU,Ya,APBN,2026,57200000
Penyedia,Barang,66506235,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,"Biaya Rapat, Pengadaan Pencetakan, Pengadaan Seragam, dll (WA.4485.EBA.994.002.0A)",BADAN PENGEMBANGAN SUMBER DAYA MANUSIA KOMUNIKASI DAN DIGITAL,Ya,APBN,2026,1647372300
Penyedia,Barang,62609157,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Annual Fortimail,SEKRETARIAT JENDERAL KOMDIGI,Tidak,APBN,2026,400000000
Swakelola,-,43146538,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,DUKUNGAN TUPOKSI LOKA MONITOR SPEKTRUM FREKUENSI RADIO KENDARI ,LOKA MONITOR SPEKTRUM FREKUENSI RADIO KENDARI,Tidak,APBN,2026,567117000
Penyedia,Barang,66769947,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Meja Staf,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I PEKANBARU,Ya,APBN,2026,50000000
Penyedia,Jasa Lainnya,65922813,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,2 PJLP Pengelola Website  Bulan Januari dan Februari 2026,DIREKTORAT JENDERAL PENGAWASAN RUANG DIGITAL,Ya,APBN,2026,29227808
Swakelola,-,42078434,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Penertiban Frekuensi Radio dan Standar Perangkat Pos dan Informatika Luar Kota Transportasi Darat Wilayah Sulawesi Balmon Palu ,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II PALU,Tidak,APBN,2026,129141000
Penyedia,Jasa Lainnya,65991732,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan Tenaga Outsourcing Bidang Kebersihan Balmon Jakarta,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I JAKARTA,Ya,APBN,2026,392177000
Swakelola,-,43243495,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pelaksanaan Kegiatan,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II BANDA ACEH,Tidak,APBN,2026,79760000
Swakelola,-,43258877,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,SBML,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I PEKANBARU,Tidak,APBN,2026,965000000
Penyedia,Jasa Lainnya,65947797,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,1 Tenaga Kontrak Administrator Sistem dan Database Bulan Maret s.d. Desember 2026,DIREKTORAT JENDERAL PENGAWASAN RUANG DIGITAL,Ya,APBN,2026,125000000
Penyedia,Barang,62490685,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan Jasa Lainnya Perorangan  Driver Pimpinan,SEKRETARIAT DEWAN PERS,Ya,APBN,2026,64800000
Swakelola,-,43177036,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pelaksanaan Intensifikasi Penerimaan Negara Bukan Pajak (PNBP)  di Bidang Telekomunikasi,DIREKTORAT JENDERAL EKOSISTEM DIGITAL,Tidak,APBN,2026,5000943000
Penyedia,Barang,65369072,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,000092 - Belanja Perjalanan Dinas Paket Meeting Luar Kota - Akomodasi Transportasi dan Penginapan - Penyusunan Rancangan Revisi UU KIP,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,74825000
Penyedia,Jasa Lainnya,65881692,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Barang Non Operasional Lainnya Kegiatan Anugerah KPI / KPI Awards TA 2026,KOMISI PENYIARAN INDONESIA,Ya,APBN,2026,118186000
Swakelola,-,43047491,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Penertiban frekuensi radio dan standar perangkat pos dan informatika dalam kota wilayah kalimantan,LOKA MONITOR SPEKTRUM FREKUENSI RADIO TANJUNG SELOR,Tidak,APBN,2026,25784000
Swakelola,-,41889185,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,001064 - Belanja Perjalanan Dinas Paket Meeting Luar Kota - Uang Harian - Evaluasi Alternatif Kebijakan,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Tidak,APBN,2026,8600000
Swakelola,-,42248029,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pemeliharaan Loket MOTS 2 (dua) Lokasi,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II BANDA ACEH,Tidak,APBN,2026,27000000
Penyedia,Barang,62386870,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Sewa Gudang dan Ruang Arsip,SEKRETARIAT KOMISI INFORMASI PUSAT,Ya,APBN,2026,89100000
Penyedia,Barang,66088985,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Biaya Paket Kegiatan Rapat Pertemuan Full Day di Luar Kantor  Pejabat Eselon III ke bawah (D.K.I.  Jakarta) - Pengembangan Sistem Informasi Manajemen Talenta,SEKRETARIAT JENDERAL KOMDIGI,Ya,APBN,2026,227000
Penyedia,Jasa Lainnya,65960530,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,1 PJLP Pengelola Program dan Keuangan Bulan Maret s.d. Desember 2026,DIREKTORAT JENDERAL PENGAWASAN RUANG DIGITAL,Ya,APBN,2026,73069520
Swakelola,-,41635760,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Kerjasama Instansi Dalam dan Luar Negeri,SEKRETARIAT KOMISI INFORMASI PUSAT,Tidak,APBN,2026,1307785000
Penyedia,Jasa Lainnya,66180724,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Perjalanan Dinas Paket Meeting Luar Kota,DIREKTORAT JENDERAL TEKNOLOGI PEMERINTAH DIGITAL,Ya,APBN,2026,34720000
Penyedia,Jasa Lainnya,62249099,Penunjukan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Asuransi Gedung Komdigi,SEKRETARIAT JENDERAL KOMDIGI,Ya,APBN,2026,1800000000
Penyedia,Jasa Lainnya,62288391,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Sewa Bandwidth Layanan DC dan Colocation PDSI Kemkomdigi TA 2026,SEKRETARIAT JENDERAL KOMDIGI,Ya,APBN,2026,2880000000
Swakelola,-,42280918,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Quality Of Service Dalam Kota Merauke Balai Monitor Spektrum Frekuensi Radio Kelas II Merauke,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II MERAUKE,Tidak,APBN,2026,11640000
Penyedia,Jasa Lainnya,63184170,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,001068 - Belanja Perjalanan Dinas Paket Meeting Luar Kota - Transportasi - Rekomendasi Kebijakan,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,7500000
Penyedia,Jasa Lainnya,65364892,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,002345 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota - Akomodasi Transport dan Penginapan - Perencanaan Produksi Konten Informasi Publik,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,15000000
Penyedia,Jasa Lainnya,66496344,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,PENGEPAKAN/PENGIRIMAN/PENGANGKUTAN BARANG,SEKRETARIAT JENDERAL KOMDIGI,Ya,APBN,2026,38400000
Swakelola,-,42717895,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,002181 - Belanja Perjalanan Dinas Paket Meeting Luar Kota - Uang Harian - Diseminasi Informasi melalui Media Online dan Sosial,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Tidak,APBN,2026,34992000
Penyedia,Jasa Lainnya,63301828,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Biaya paket meeting dalam kota - Pengelolaan Pengawasan Program Kerja Mitra Inspektorat II,INSPEKTORAT JENDERAL,Ya,APBN,2026,9576000
Penyedia,Jasa Lainnya,65586636,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,001402 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota - Paket Meeting Fullday - Media Briefing Redaktur Media Nasional,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,10237000
Swakelola,-,41573077,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Perjalanan Dinas Biasa,BALAI PENGEMBANGAN SDM DAN PENELITIAN KOMUNIKASI DAN INFORMATIKA JAKARTA,Tidak,APBN,2026,278763000
Penyedia,Barang,65116165,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,122-Belanja Pemeliharaan Peralatan dan Mesin-Pemeliharaan Lift,MUSEUM PENERANGAN DI JAKARTA,Ya,APBN,2026,30000000
Swakelola,-,41940994,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Perjalanan Dinas Dalam Kota ( UJIAN NEGARA AMATIR RADIO ),BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I DENPASAR,Tidak,APBN,2026,3960000
Swakelola,-,43008944,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,"Identifikasi, Persiapan dan Koordinasi Harmonisasi dan Penguatan Strategi Kebijakan",SEKRETARIAT JENDERAL KOMDIGI,Tidak,APBN,2026,153000000
Swakelola,-,42844670,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Persiapan Kegiatan,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I MEDAN,Tidak,APBN,2026,100000
Swakelola,-,43250868,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Koordinasi Spektrum Frekuensi Radio Teresterial Dit. Prestasi (PBO.404.407),DIREKTORAT JENDERAL INFRASTRUKTUR DIGITAL,Tidak,APBN,2026,759889000
Swakelola,-,42261113,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Layanan Pengelolaan PNBP Sertifikasi Alat Perangkat Digital - LANID,DIREKTORAT JENDERAL INFRASTRUKTUR DIGITAL,Tidak,APBN,2026,351942000
Swakelola,-,42373526,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Penyusunan Rekomendasi Kebijakan Strategi Percepatan Implementasi IPv6,DIREKTORAT JENDERAL INFRASTRUKTUR DIGITAL,Tidak,APBN,2026,347090000
Swakelola,-,43042712,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Perjalanan Dinas Paket Meeting Luar Kota,DIREKTORAT JENDERAL EKOSISTEM DIGITAL,Tidak,APBN,2026,123284000
Swakelola,-,43368875,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Perumusan Rekomendasi Kebijakan Spektrum Frekuensi Radio dalam Rangka Mendukung Implementasi Jaringan Fixed dan Land Mobile Service Dit. Prestasi (PBO.401.402),DIREKTORAT JENDERAL INFRASTRUKTUR DIGITAL,Tidak,APBN,2026,2466036000
Penyedia,Jasa Lainnya,62530666,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Sewa Link Jaringan Internet Transportable 70 Mbps,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II MATARAM,Ya,APBN,2026,48000000
Penyedia,Barang,66007926,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Bahan,SEKRETARIAT JENDERAL KOMDIGI,Ya,APBN,2026,30147000
Penyedia,Jasa Lainnya,62243506,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Keperluan Tenaga Keamanan dan Petugas Loket MOTS,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I BANDUNG,Ya,APBN,2026,136000000
Penyedia,Jasa Lainnya,63177179,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,"001354 - Belanja Perjalanan Dinas Paket Meeting Luar Kota - Transportasi Jakarta - Bandung PP - Rapat Koordinasi, Pemetaan dan Identifikasi Isu",DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,33750000
Swakelola,-,41705862,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengelolaan Sistem Akuntansi Instansi dan Barang Milik Negara,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II BATAM,Tidak,APBN,2026,66500000
Swakelola,-,42109073,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,SBML,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I BANDUNG,Tidak,APBN,2026,1134000000
Swakelola,-,43041364,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pelaksanaan Kegiatan Tata Kelola Prangko,DIREKTORAT JENDERAL EKOSISTEM DIGITAL,Tidak,APBN,2026,117072000
Swakelola,-,41889289,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,002383 - Belanja Perjalanan Dinas Paket Meeting Luar Kota - Uang Harian - Meet Up Media Baru,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Tidak,APBN,2026,23760000
Penyedia,Barang,62288912,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan Belanja Bahan Kegiatan Pengembangan Kompetensi SDM Aparatur dan Kepemimpinan Digital ,BALAI PENGEMBANGAN SDM DAN PENELITIAN KOMUNIKASI DAN INFORMATIKA BANDUNG,Ya,APBN,2026,22362000
Penyedia,Jasa Lainnya,65374690,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,000426 - Belanja Barang Non Operasional Lainnya - Jasa Pengadaan Lisensi Pendukung Monitoring Isu - Perencanaan Monitoring dan Analisis Isu Publik,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,10000000
Swakelola,-,42910876,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Jasa Profesi Pengolahan dan Analisis Data Indeks Penyiaran Indonesia (IPI),KOMISI PENYIARAN INDONESIA,Tidak,APBN,2026,45600000
Penyedia,Barang,66088229,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Bahan - Ujian Dinas dan Ujian Kenaikan Pangkat Penyesuaian Ijazah,SEKRETARIAT JENDERAL KOMDIGI,Ya,APBN,2026,8492000
Swakelola,-,41889497,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,001755 - Belanja Perjalanan Dinas Paket Meeting Luar Kota - Uang Harian - Produksi Konten terkait Pendidikan,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Tidak,APBN,2026,51600000
Penyedia,Jasa Lainnya,65236286,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL," OM SATRIA 1",BADAN AKSESBILITAS TELEKOMUNIKASI DAN INFORMASI,Tidak,APBN,2026,781460269000
Penyedia,Barang,65811349,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Bahan Praktikum dan ATK (Administrasi Pendidikan),SEKOLAH TINGGI MULTI MEDIA MMTC YOGYAKARTA,Ya,APBN,2026,120000000
Penyedia,Barang,65881697,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Barang Non Operasional Lainnya Kegiatan Apresiasi Program Siaran Ramadhan TA 2026,KOMISI PENYIARAN INDONESIA,Ya,APBN,2026,9224000
Penyedia,Jasa Lainnya,66364870,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pemeliharaan Sistem SSO dan Aduan Konten,DIREKTORAT JENDERAL PENGAWASAN RUANG DIGITAL,Ya,APBN,2026,360000000
Penyedia,Jasa Lainnya,62464509,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Sewa Kendaraan Operasional,BADAN AKSESBILITAS TELEKOMUNIKASI DAN INFORMASI,Tidak,APBN,2026,682380000
Swakelola,-,41580612,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Honorarium Satuan Kerja (WA.4485.EBA.994.002.0A),BADAN PENGEMBANGAN SUMBER DAYA MANUSIA KOMUNIKASI DAN DIGITAL,Tidak,APBN,2026,320520000
Swakelola,-,42098125,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Penertiban Frek Rad dan Standar Perangkat Pos dan Informatika LUAR KOTA Balai Monitor SFR Kelas II Bengkulu,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II BENGKULU,Tidak,APBN,2026,100538000
Penyedia,Jasa Lainnya,65116257,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,023-Belanja Jasa Lainnya-Kegiatan EO Team Building,MUSEUM PENERANGAN DI JAKARTA,Ya,APBN,2026,7000000
Swakelola,-,43238440,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,PENERTIBAN FREKUENSI RADIO DAN STANDAR PERANGKAT POS DAN INFORMATIKA LUAR KOTA TRANSPORTASI DARAT WILAYAH SULAWESI,LOKA MONITOR SPEKTRUM FREKUENSI RADIO GORONTALO,Tidak,APBN,2026,65025000
Swakelola,-,41560375,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Penertiban Frekuensi Radio Dan Standar Perangkat Pos Dan Informatika Dalam Kota Wilayah Sumatera Balai Monitor SFR Kelas II Jambi,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II JAMBI,Tidak,APBN,2026,17050000
Penyedia,Barang,66250757,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan Perangkat Monitoring UPT_Balmon Jogja 2026,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I YOGYAKARTA,Ya,APBN,2026,228140000
Swakelola,-,43146625,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,PENERTIBAN FREKUENSI RADIO DAN STANDAR PERANGKAT POS DAN INFORMATIKA DALAM KOTA WILAYAH SULAWESI LOKA MONITOR SPEKTRUM FREKUENSI RADIO KENDARI,LOKA MONITOR SPEKTRUM FREKUENSI RADIO KENDARI,Tidak,APBN,2026,49920000
Penyedia,Barang,66843438,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan Personal Computer,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I MEDAN,Ya,APBN,2026,55000000
