Cara Pengadaan,Jenis Pengadaan,Kode RUP,Metode Pengadaan,Nama Instansi,Nama Paket,Nama Satuan Kerja,Produk Dalam Negeri,Sumber Dana,Tahun Anggaran,Total Nilai (Rp)
Swakelola,-,42892128,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,002417 - Belanja Perjalanan Dinas Biasa - Uang Harian - Evaluasi Pelaksanaan,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Tidak,APBN,2026,49200000
Penyedia,Jasa Konsultansi,66251373,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Jasa Konsultan,DIREKTORAT JENDERAL TEKNOLOGI PEMERINTAH DIGITAL,Ya,APBN,2026,50000000
Penyedia,Jasa Lainnya,62228773,Penunjukan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Sewa Lahan Transportable Polman Loka Monitor SFR Mamuju,LOKA MONITOR SPEKTRUM FREKUENSI RADIO MAMUJU,Ya,APBN,2026,45000000
Penyedia,Jasa Lainnya,65092728,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,002312 - Belanja Jasa lainnya - Jasa Penyelenggaraan Seminar Hasil Indeks KPIP Tahun 2025 - Rekomendasi hasil survey Komunikasi Pembangunan dan Informasi Publik (KPIP),DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,200000000
Penyedia,Jasa Konsultansi,64746262,Seleksi,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan Jasa Konsultansi Penyusunan Pengukuran Indikator Persentase Tingkat Produktivitas Adopsi Teknologi Baru,DIREKTORAT JENDERAL EKOSISTEM DIGITAL,Ya,APBN,2026,400000000
Penyedia,Barang,63704008,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan GPS,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II BANJARMASIN,Tidak,APBN,2026,10934000
Penyedia,Barang,63300259,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Bahan - Perencanaan dan Penganggaran Program Kerja Itjen Berdasarkan Evaluasi,INSPEKTORAT JENDERAL,Ya,APBN,2026,24106000
Penyedia,Jasa Konsultansi,65810216,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Jasa Konsultan Operasional Layanan Klasifikasi Gim,DIREKTORAT JENDERAL EKOSISTEM DIGITAL,Ya,APBN,2026,100000000
Penyedia,Barang,66474325,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Penyediaan Informasi Publik - KEGIATAN PELAYANAN INFORMASI PPID - Belanja Bahan,SEKRETARIAT JENDERAL KOMDIGI,Ya,APBN,2026,5746000
Swakelola,-,41521738,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pelaksanaan Penertiban Frekuensi Radio dan Standar Perangkat Pos dan Informatika Dalam Kota,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II BANJARMASIN,Tidak,APBN,2026,10935000
Swakelola,-,41523278,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Komunikasi Pegawai Kantor Balai Monitor Spektrum Frekuensi Radio Kelas II Jayapura,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II JAYAPURA,Tidak,APBN,2026,7008000
Swakelola,-,43043044,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Perjalanan Dinas Paket Meeting Dalam Kota,DIREKTORAT JENDERAL EKOSISTEM DIGITAL,Tidak,APBN,2026,453200000
Penyedia,Jasa Lainnya,66536352,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,"Sewa Mesin Fotocopy, Balmon Makassar",BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I MAKASSAR,Ya,APBN,2026,65934000
Penyedia,Jasa Lainnya,66471916,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,001931 - Belanja Jasa Lainnya - Jasa Produksi Design Billboard - Produksi Konten,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,110500000
Penyedia,Barang,63551374,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan peralatan dan fasilitas perkantoran UPT,LOKA MONITOR SPEKTRUM FREKUENSI RADIO MANOKWARI,Ya,APBN,2026,27000000
Penyedia,Jasa Lainnya,63184812,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,001840 - Belanja Jasa Lainnya - Penyelenggaraan Pertunjukan Rakyat - Forum Tatap Muka,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,190454000
Swakelola,-,41996329,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,SBML,LOKA MONITOR SPEKTRUM FREKUENSI RADIO MANOKWARI,Tidak,APBN,2026,420000000
